animal id,PLYUID,start,stop,duration,mFrequency_Hz,mPeriod_s,mHeight_V,mO2_V,mCO2_V,mTchamber_V,segment,start_time,stop_time,Alias,Cal Seg,MAN_IND_INCLUDE,MAN_IND_CAL,MAN_IND_GAS_CAL,CAL_O2,CAL_CO2,MAN_IND_GAS,MAN_IND_INJECTION
M17898,Ply1171,1282.45,1314.3990000000001,31.95,2.915847714,0.3432236252,1.835142651,2.101289164,2.508960506,0.030509801,Cal 20 5% CO2,0 days 00:21:22.450000,0 days 00:21:54.399000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17899,Ply1168,1872.7500000000002,1904.449,31.7,2.881391395,0.3474102994,1.808871528,2.104522027,2.50020954,0.02930652602,Cal 20 5% CO2,0 days 00:31:12.750000,0 days 00:31:44.449000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17901,Ply1153,1634.65,1665.449,30.8,2.841470169,0.3522532031,1.829258734,2.104568176,2.501221978,0.03030982179,Cal 20 5% CO2,0 days 00:27:14.650000,0 days 00:27:45.449000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17904,Ply1166,2955.75,2990.799,35.05,2.745062647,0.3644525291,1.745130202,2.104274126,2.50065771,0.02973738377,Cal 20 5% CO2,0 days 00:49:15.750000,0 days 00:49:50.799000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17860,Ply1189,3799.1000000000004,3815.949,16.85,3.493254469,0.289877462,1.065657903,1.978677299,0.4945882791,0.02887900632,Room Air,0 days 01:03:19.100000,0 days 01:03:35.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17860,Ply1189,3829.7000000000003,3834.849,5.15,3.570080028,0.2843208953,1.185330875,1.984227553,0.4609689324,0.02888932075,Room Air,0 days 01:03:49.700000,0 days 01:03:54.849000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17860,Ply1189,3882.3,3904.6490000000003,22.35,4.271062971,0.2420472282,1.191177878,1.910247358,0.7660983082,0.02889168102,Room Air,0 days 01:04:42.300000,0 days 01:05:04.649000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17860,Ply1189,3934.8,3961.099,26.3,3.614423993,0.2780679113,1.209999998,1.978450618,0.4810164569,0.02887267149,Room Air,0 days 01:05:34.800000,0 days 01:06:01.099000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10638.5,10644.949,6.45,3.815967788,0.266923504,1.369918471,1.972605861,0.4953499031,0.02902470956,Room Air,0 days 02:57:18.500000,0 days 02:57:24.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10652.75,10658.949,6.2,3.941985672,0.2620652894,1.350980108,1.954172079,0.5716101818,0.02901839744,Room Air,0 days 02:57:32.750000,0 days 02:57:38.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10660.550000000001,10665.349,4.8,3.853198921,0.263678577,1.230827219,1.954344533,0.5714135424,0.02901966172,Room Air,0 days 02:57:40.550000,0 days 02:57:45.349000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10670.35,10674.199,3.85,4.073815071,0.2589843961,1.269399047,1.960493343,0.5455987827,0.0290124191,Room Air,0 days 02:57:50.350000,0 days 02:57:54.199000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10682.2,10685.949,3.75,3.953687851,0.265376867,1.35504807,1.966722666,0.5165308321,0.0290150836,Room Air,0 days 02:58:02.200000,0 days 02:58:05.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10694.7,10697.999,3.3,4.514911022,0.2268731339,1.09705357,1.975081435,0.4821441289,0.02902604192,Room Air,0 days 02:58:14.700000,0 days 02:58:17.999000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10705.300000000001,10708.049,2.75,3.51356411,0.2896302249,1.237656251,1.976299091,0.4663286368,0.02901397754,Room Air,0 days 02:58:25.300000,0 days 02:58:28.049000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10711.5,10715.349,3.85,3.753747206,0.27167196,1.369375,1.971883765,0.498829384,0.02902061714,Room Air,0 days 02:58:31.500000,0 days 02:58:35.349000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10724.45,10743.649000000001,19.2,4.029563208,0.2573835703,1.333103886,1.973407421,0.4901385577,0.02900859402,Room Air,0 days 02:58:44.450000,0 days 02:59:03.649000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10744.95,10750.799,5.85,4.092362577,0.2530700456,1.257485812,1.973056836,0.4901914528,0.02901041693,Room Air,0 days 02:59:04.950000,0 days 02:59:10.799000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17861,Ply1191,10757.150000000001,10760.749,3.6,3.917447549,0.2588248505,1.272500011,1.970481597,0.4962474834,0.02901571207,Room Air,0 days 02:59:17.150000,0 days 02:59:20.749000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,3728.3500000000004,3765.4990000000003,37.15,3.665860231,0.2753746099,0.8276212669,2.002268285,0.4206122228,0.02954403578,Room Air,0 days 01:02:08.350000,0 days 01:02:45.499000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,3786.6000000000004,3799.5490000000004,12.95,3.518737484,0.2862804959,0.9054545503,2.005680549,0.4159188228,0.02954346021,Room Air,0 days 01:03:06.600000,0 days 01:03:19.549000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,3826.9500000000003,3834.4990000000003,7.55,4.179084355,0.2407174341,0.8886189518,2.015855083,0.3625915988,0.0295329882,Room Air,0 days 01:03:46.950000,0 days 01:03:54.499000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,3969.1000000000004,3974.8990000000003,5.8,3.981354063,0.2527284683,1.049602276,1.986898767,0.482731735,0.02956411614,Room Air,0 days 01:06:09.100000,0 days 01:06:14.899000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,4019.1000000000004,4025.2490000000003,6.15,4.369796486,0.2304416138,1.034975002,1.986508382,0.4819331789,0.02955457295,Room Air,0 days 01:06:59.100000,0 days 01:07:05.249000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17864,Ply1179,4088.65,4097.6990000000005,9.05,3.997035558,0.2514608702,0.986205365,1.993232698,0.4687287647,0.02957928152,Room Air,0 days 01:08:08.650000,0 days 01:08:17.699000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,4890.150000000001,4898.4490000000005,8.3,4.21656089,0.238779228,1.02967831,1.981227744,0.5620313989,0.03000978899,Room Air,0 days 01:21:30.150000,0 days 01:21:38.449000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,4929.400000000001,4935.9490000000005,6.55,4.465187797,0.2265325417,1.048325896,1.979514886,0.5253846375,0.02999742349,Room Air,0 days 01:22:09.400000,0 days 01:22:15.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,4943.0,4947.599,4.6,4.351530389,0.2329824904,1.097253285,1.978380911,0.5255417858,0.02997832861,Room Air,0 days 01:22:23,0 days 01:22:27.599000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
